month,day,weekday,daytype,hour,hourtype,location
1,4,wednesday,weekday,0,night,home
1,4,wednesday,weekday,1,night,home
1,4,wednesday,weekday,2,night,home
1,4,wednesday,weekday,3,night,home
1,4,wednesday,weekday,4,night,home
1,4,wednesday,weekday,5,night,home
1,4,wednesday,weekday,6,morning,home
1,4,wednesday,weekday,7,morning,home
1,4,wednesday,weekday,8,morning,home
1,4,wednesday,weekday,9,morning,office
1,4,wednesday,weekday,10,morning,office
1,4,wednesday,weekday,11,morning,office
1,4,wednesday,weekday,12,afternoon,office
1,4,wednesday,weekday,13,afternoon,office
1,4,wednesday,weekday,14,afternoon,office
1,4,wednesday,weekday,15,afternoon,office
1,4,wednesday,weekday,16,afternoon,office
1,4,wednesday,weekday,17,afternoon,office
1,4,wednesday,weekday,18,evening,home
1,4,wednesday,weekday,19,evening,home
1,4,wednesday,weekday,20,evening,home
1,4,wednesday,weekday,21,evening,home
1,4,wednesday,weekday,22,night,home
1,4,wednesday,weekday,23,night,home
1,5,thursday,weekday,0,night,home
1,5,thursday,weekday,1,night,home
1,5,thursday,weekday,2,night,home
1,5,thursday,weekday,3,night,home
1,5,thursday,weekday,4,night,home
1,5,thursday,weekday,5,night,home
1,5,thursday,weekday,6,morning,home
1,5,thursday,weekday,7,morning,home
1,5,thursday,weekday,8,morning,home
1,5,thursday,weekday,9,morning,office
1,5,thursday,weekday,10,morning,office
1,5,thursday,weekday,11,morning,restaurant
1,5,thursday,weekday,12,afternoon,restaurant
1,5,thursday,weekday,13,afternoon,office
1,5,thursday,weekday,14,afternoon,office
1,5,thursday,weekday,15,afternoon,office
1,5,thursday,weekday,16,afternoon,office
1,5,thursday,weekday,17,afternoon,office
1,5,thursday,weekday,18,evening,office
1,5,thursday,weekday,19,evening,home
1,5,thursday,weekday,20,evening,home
1,5,thursday,weekday,21,evening,home
1,5,thursday,weekday,22,night,home
1,5,thursday,weekday,23,night,home
1,6,friday,weekday,0,night,home
1,6,friday,weekday,1,night,home
1,6,friday,weekday,2,night,home
1,6,friday,weekday,3,night,home
1,6,friday,weekday,4,night,home
1,6,friday,weekday,5,night,home
1,6,friday,weekday,6,morning,home
1,6,friday,weekday,7,morning,home
1,6,friday,weekday,8,morning,home
1,6,friday,weekday,9,morning,office
1,6,friday,weekday,10,morning,office
1,6,friday,weekday,11,morning,restaurant
1,6,friday,weekday,12,afternoon,restaurant
1,6,friday,weekday,13,afternoon,campus
1,6,friday,weekday,14,afternoon,campus
1,6,friday,weekday,15,afternoon,campus
1,6,friday,weekday,16,afternoon,campus
1,6,friday,weekday,17,afternoon,home
1,6,friday,weekday,18,evening,home
1,6,friday,weekday,19,evening,home
1,6,friday,weekday,20,evening,home
1,6,friday,weekday,21,evening,store
1,6,friday,weekday,22,night,store
1,6,friday,weekday,23,night,home
1,7,saturday,weekend,0,night,home
1,7,saturday,weekend,1,night,home
1,7,saturday,weekend,2,night,home
1,7,saturday,weekend,3,night,home
1,7,saturday,weekend,4,night,home
1,7,saturday,weekend,5,night,home
1,7,saturday,weekend,6,morning,home
1,7,saturday,weekend,7,morning,home
1,7,saturday,weekend,8,morning,home
1,7,saturday,weekend,9,morning,home
1,7,saturday,weekend,10,morning,home
1,7,saturday,weekend,11,morning,home
1,7,saturday,weekend,12,afternoon,home
1,7,saturday,weekend,13,afternoon,home
1,7,saturday,weekend,14,afternoon,home
1,7,saturday,weekend,15,afternoon,home
1,7,saturday,weekend,16,afternoon,home
1,7,saturday,weekend,17,afternoon,home
1,7,saturday,weekend,18,evening,home
1,7,saturday,weekend,19,evening,home
1,7,saturday,weekend,20,evening,home
1,7,saturday,weekend,21,evening,home
1,7,saturday,weekend,22,night,home
1,7,saturday,weekend,23,night,home
1,8,sunday,weekend,0,night,home
1,8,sunday,weekend,1,night,home
1,8,sunday,weekend,2,night,home
1,8,sunday,weekend,3,night,home
1,8,sunday,weekend,4,night,home
1,8,sunday,weekend,5,night,home
1,8,sunday,weekend,6,morning,home
1,8,sunday,weekend,7,morning,home
1,8,sunday,weekend,8,morning,home
1,8,sunday,weekend,9,morning,home
1,8,sunday,weekend,10,morning,home
1,8,sunday,weekend,11,morning,home
1,8,sunday,weekend,12,afternoon,home
1,8,sunday,weekend,13,afternoon,restaurant
1,8,sunday,weekend,14,afternoon,restaurant
1,8,sunday,weekend,15,afternoon,home
1,8,sunday,weekend,16,afternoon,home
1,8,sunday,weekend,17,afternoon,home
1,8,sunday,weekend,18,evening,home
1,8,sunday,weekend,19,evening,home
1,8,sunday,weekend,20,evening,home
1,8,sunday,weekend,21,evening,home
1,8,sunday,weekend,22,night,home
1,8,sunday,weekend,23,night,home
1,9,monday,weekday,0,night,home
1,9,monday,weekday,1,night,home
1,9,monday,weekday,2,night,home
1,9,monday,weekday,3,night,home
1,9,monday,weekday,4,night,home
1,9,monday,weekday,5,night,home
1,9,monday,weekday,6,morning,home
1,9,monday,weekday,7,morning,home
1,9,monday,weekday,8,morning,campus
1,9,monday,weekday,9,morning,campus
1,9,monday,weekday,10,morning,campus
1,9,monday,weekday,11,morning,office
1,9,monday,weekday,12,afternoon,restaurant
1,9,monday,weekday,13,afternoon,office
1,9,monday,weekday,14,afternoon,office
1,9,monday,weekday,15,afternoon,office
1,9,monday,weekday,16,afternoon,office
1,9,monday,weekday,17,afternoon,office
1,9,monday,weekday,18,evening,store
1,9,monday,weekday,19,evening,home
1,9,monday,weekday,20,evening,home
1,9,monday,weekday,21,evening,home
1,9,monday,weekday,22,night,home
1,9,monday,weekday,23,night,home
1,10,tuesday,weekday,0,night,home
1,10,tuesday,weekday,1,night,home
1,10,tuesday,weekday,2,night,home
1,10,tuesday,weekday,3,night,home
1,10,tuesday,weekday,4,night,home
1,10,tuesday,weekday,5,night,home
1,10,tuesday,weekday,6,morning,home
1,10,tuesday,weekday,7,morning,home
1,10,tuesday,weekday,8,morning,home
1,10,tuesday,weekday,9,morning,home
1,10,tuesday,weekday,10,morning,office
1,10,tuesday,weekday,11,morning,restaurant
1,10,tuesday,weekday,12,afternoon,restaurant
1,10,tuesday,weekday,13,afternoon,office
1,10,tuesday,weekday,14,afternoon,office
1,10,tuesday,weekday,15,afternoon,office
1,10,tuesday,weekday,16,afternoon,office
1,10,tuesday,weekday,17,afternoon,office
1,10,tuesday,weekday,18,evening,home
1,10,tuesday,weekday,19,evening,home
1,10,tuesday,weekday,20,evening,home
1,10,tuesday,weekday,21,evening,home
1,10,tuesday,weekday,22,night,home
1,10,tuesday,weekday,23,night,home
1,11,wednesday,weekday,0,night,home
1,11,wednesday,weekday,1,night,home
1,11,wednesday,weekday,2,night,home
1,11,wednesday,weekday,3,night,home
1,11,wednesday,weekday,4,night,home
1,11,wednesday,weekday,5,night,home
1,11,wednesday,weekday,6,morning,home
1,11,wednesday,weekday,7,morning,home
1,11,wednesday,weekday,8,morning,restaurant
1,11,wednesday,weekday,9,morning,appointment
1,11,wednesday,weekday,10,morning,appointment
1,11,wednesday,weekday,11,morning,restaurant
1,11,wednesday,weekday,12,afternoon,restaurant
1,11,wednesday,weekday,13,afternoon,campus
1,11,wednesday,weekday,14,afternoon,campus
1,11,wednesday,weekday,15,afternoon,campus
1,11,wednesday,weekday,16,afternoon,campus
1,11,wednesday,weekday,17,afternoon,campus
1,11,wednesday,weekday,18,evening,restaurant
1,11,wednesday,weekday,19,evening,home
1,11,wednesday,weekday,20,evening,home
1,11,wednesday,weekday,21,evening,home
1,11,wednesday,weekday,22,night,home
1,11,wednesday,weekday,23,night,home
1,12,thursday,weekday,0,night,home
1,12,thursday,weekday,1,night,home
1,12,thursday,weekday,2,night,home
1,12,thursday,weekday,3,night,home
1,12,thursday,weekday,4,night,home
1,12,thursday,weekday,5,night,home
1,12,thursday,weekday,6,morning,home
1,12,thursday,weekday,7,morning,home
1,12,thursday,weekday,8,morning,home
1,12,thursday,weekday,9,morning,office
1,12,thursday,weekday,10,morning,office
1,12,thursday,weekday,11,morning,restaurant
1,12,thursday,weekday,12,afternoon,restaurant
1,12,thursday,weekday,13,afternoon,office
1,12,thursday,weekday,14,afternoon,office
1,12,thursday,weekday,15,afternoon,office
1,12,thursday,weekday,16,afternoon,office
1,12,thursday,weekday,17,afternoon,office
1,12,thursday,weekday,18,evening,office
1,12,thursday,weekday,19,evening,home
1,12,thursday,weekday,20,evening,store
1,12,thursday,weekday,21,evening,store
1,12,thursday,weekday,22,night,home
1,12,thursday,weekday,23,night,home
1,13,friday,weekday,0,night,home
1,13,friday,weekday,1,night,home
1,13,friday,weekday,2,night,home
1,13,friday,weekday,3,night,home
1,13,friday,weekday,4,night,home
1,13,friday,weekday,5,night,home
1,13,friday,weekday,6,morning,home
1,13,friday,weekday,7,morning,home
1,13,friday,weekday,8,morning,home
1,13,friday,weekday,9,morning,office
1,13,friday,weekday,10,morning,office
1,13,friday,weekday,11,morning,restaurant
1,13,friday,weekday,12,afternoon,restaurant
1,13,friday,weekday,13,afternoon,campus
1,13,friday,weekday,14,afternoon,campus
1,13,friday,weekday,15,afternoon,campus
1,13,friday,weekday,16,afternoon,campus
1,13,friday,weekday,17,afternoon,campus
1,13,friday,weekday,18,evening,restaurant
1,13,friday,weekday,19,evening,home
1,13,friday,weekday,20,evening,home
1,13,friday,weekday,21,evening,home
1,13,friday,weekday,22,night,home
1,13,friday,weekday,23,night,home
1,14,saturday,weekend,0,night,home
1,14,saturday,weekend,1,night,home
1,14,saturday,weekend,2,night,home
1,14,saturday,weekend,3,night,home
1,14,saturday,weekend,4,night,home
1,14,saturday,weekend,5,night,home
1,14,saturday,weekend,6,morning,home
1,14,saturday,weekend,7,morning,home
1,14,saturday,weekend,8,morning,home
1,14,saturday,weekend,9,morning,home
1,14,saturday,weekend,10,morning,home
1,14,saturday,weekend,11,morning,home
1,14,saturday,weekend,12,afternoon,restaurant
1,14,saturday,weekend,13,afternoon,restaurant
1,14,saturday,weekend,14,afternoon,home
1,14,saturday,weekend,15,afternoon,home
1,14,saturday,weekend,16,afternoon,home
1,14,saturday,weekend,17,afternoon,appointment
1,14,saturday,weekend,18,evening,appointment
1,14,saturday,weekend,19,evening,store
1,14,saturday,weekend,20,evening,restaurant
1,14,saturday,weekend,21,evening,home
1,14,saturday,weekend,22,night,home
1,14,saturday,weekend,23,night,home
1,15,sunday,weekend,0,night,home
1,15,sunday,weekend,1,night,home
1,15,sunday,weekend,2,night,home
1,15,sunday,weekend,3,night,home
1,15,sunday,weekend,4,night,home
1,15,sunday,weekend,5,night,home
1,15,sunday,weekend,6,morning,home
1,15,sunday,weekend,7,morning,home
1,15,sunday,weekend,8,morning,home
1,15,sunday,weekend,9,morning,home
1,15,sunday,weekend,10,morning,home
1,15,sunday,weekend,11,morning,home
1,15,sunday,weekend,12,afternoon,restaurant
1,15,sunday,weekend,13,afternoon,restaurant
1,15,sunday,weekend,14,afternoon,home
1,15,sunday,weekend,15,afternoon,home
1,15,sunday,weekend,16,afternoon,home
1,15,sunday,weekend,17,afternoon,home
1,15,sunday,weekend,18,evening,store
1,15,sunday,weekend,19,evening,restaurant
1,15,sunday,weekend,20,evening,home
1,15,sunday,weekend,21,evening,home
1,15,sunday,weekend,22,night,home
1,15,sunday,weekend,23,night,home
1,16,monday,weekday,0,night,home
1,16,monday,weekday,1,night,home
1,16,monday,weekday,2,night,home
1,16,monday,weekday,3,night,home
1,16,monday,weekday,4,night,home
1,16,monday,weekday,5,night,home
1,16,monday,weekday,6,morning,home
1,16,monday,weekday,7,morning,home
1,16,monday,weekday,8,morning,home
1,16,monday,weekday,9,morning,office
1,16,monday,weekday,10,morning,office
1,16,monday,weekday,11,morning,restaurant
1,16,monday,weekday,12,afternoon,office
1,16,monday,weekday,13,afternoon,office
1,16,monday,weekday,14,afternoon,office
1,16,monday,weekday,15,afternoon,office
1,16,monday,weekday,16,afternoon,office
1,16,monday,weekday,17,afternoon,office
1,16,monday,weekday,18,evening,home
1,16,monday,weekday,19,evening,home
1,16,monday,weekday,20,evening,home
1,16,monday,weekday,21,evening,home
1,16,monday,weekday,22,night,home
1,16,monday,weekday,23,night,home
1,17,tuesday,weekday,0,night,home
1,17,tuesday,weekday,1,night,home
1,17,tuesday,weekday,2,night,home
1,17,tuesday,weekday,3,night,home
1,17,tuesday,weekday,4,night,home
1,17,tuesday,weekday,5,night,home
1,17,tuesday,weekday,6,morning,home
1,17,tuesday,weekday,7,morning,home
1,17,tuesday,weekday,8,morning,home
1,17,tuesday,weekday,9,morning,home
1,17,tuesday,weekday,10,morning,office
1,17,tuesday,weekday,11,morning,restaurant
1,17,tuesday,weekday,12,afternoon,restaurant
1,17,tuesday,weekday,13,afternoon,office
1,17,tuesday,weekday,14,afternoon,office
1,17,tuesday,weekday,15,afternoon,office
1,17,tuesday,weekday,16,afternoon,office
1,17,tuesday,weekday,17,afternoon,office
1,17,tuesday,weekday,18,evening,store
1,17,tuesday,weekday,19,evening,home
1,17,tuesday,weekday,20,evening,home
1,17,tuesday,weekday,21,evening,home
1,17,tuesday,weekday,22,night,home
1,17,tuesday,weekday,23,night,home
1,18,wednesday,weekday,0,night,home
1,18,wednesday,weekday,1,night,home
1,18,wednesday,weekday,2,night,home
1,18,wednesday,weekday,3,night,home
1,18,wednesday,weekday,4,night,home
1,18,wednesday,weekday,5,night,home
1,18,wednesday,weekday,6,morning,home
1,18,wednesday,weekday,7,morning,home
1,18,wednesday,weekday,8,morning,home
1,18,wednesday,weekday,9,morning,office
1,18,wednesday,weekday,10,morning,office
1,18,wednesday,weekday,11,morning,restaurant
1,18,wednesday,weekday,12,afternoon,office
1,18,wednesday,weekday,13,afternoon,office
1,18,wednesday,weekday,14,afternoon,campus
1,18,wednesday,weekday,15,afternoon,campus
1,18,wednesday,weekday,16,afternoon,campus
1,18,wednesday,weekday,17,afternoon,home
1,18,wednesday,weekday,18,evening,home
1,18,wednesday,weekday,19,evening,home
1,18,wednesday,weekday,20,evening,home
1,18,wednesday,weekday,21,evening,home
1,18,wednesday,weekday,22,night,home
1,18,wednesday,weekday,23,night,home
1,19,thursday,weekday,0,night,home
1,19,thursday,weekday,1,night,home
1,19,thursday,weekday,2,night,home
1,19,thursday,weekday,3,night,home
1,19,thursday,weekday,4,night,home
1,19,thursday,weekday,5,night,home
1,19,thursday,weekday,6,morning,home
1,19,thursday,weekday,7,morning,home
1,19,thursday,weekday,8,morning,home
1,19,thursday,weekday,9,morning,office
1,19,thursday,weekday,10,morning,office
1,19,thursday,weekday,11,morning,office
1,19,thursday,weekday,12,afternoon,office
1,19,thursday,weekday,13,afternoon,office
1,19,thursday,weekday,14,afternoon,office
1,19,thursday,weekday,15,afternoon,office
1,19,thursday,weekday,16,afternoon,office
1,19,thursday,weekday,17,afternoon,office
1,19,thursday,weekday,18,evening,office
1,19,thursday,weekday,19,evening,home
1,19,thursday,weekday,20,evening,home
1,19,thursday,weekday,21,evening,home
1,19,thursday,weekday,22,night,home
1,19,thursday,weekday,23,night,home
1,20,friday,weekday,0,night,home
1,20,friday,weekday,1,night,home
1,20,friday,weekday,2,night,home
1,20,friday,weekday,3,night,home
1,20,friday,weekday,4,night,home
1,20,friday,weekday,5,night,home
1,20,friday,weekday,6,morning,home
1,20,friday,weekday,7,morning,home
1,20,friday,weekday,8,morning,home
1,20,friday,weekday,9,morning,campus
1,20,friday,weekday,10,morning,campus
1,20,friday,weekday,11,morning,campus
1,20,friday,weekday,12,afternoon,restaurant
1,20,friday,weekday,13,afternoon,office
1,20,friday,weekday,14,afternoon,office
1,20,friday,weekday,15,afternoon,office
1,20,friday,weekday,16,afternoon,office
1,20,friday,weekday,17,afternoon,office
1,20,friday,weekday,18,evening,store
1,20,friday,weekday,19,evening,store
1,20,friday,weekday,20,evening,restaurant
1,20,friday,weekday,21,evening,home
1,20,friday,weekday,22,night,home
1,20,friday,weekday,23,night,home
1,21,saturday,weekend,0,night,home
1,21,saturday,weekend,1,night,home
1,21,saturday,weekend,2,night,home
1,21,saturday,weekend,3,night,home
1,21,saturday,weekend,4,night,home
1,21,saturday,weekend,5,night,home
1,21,saturday,weekend,6,morning,home
1,21,saturday,weekend,7,morning,home
1,21,saturday,weekend,8,morning,home
1,21,saturday,weekend,9,morning,home
1,21,saturday,weekend,10,morning,home
1,21,saturday,weekend,11,morning,home
1,21,saturday,weekend,12,afternoon,home
1,21,saturday,weekend,13,afternoon,home
1,21,saturday,weekend,14,afternoon,home
1,21,saturday,weekend,15,afternoon,home
1,21,saturday,weekend,16,afternoon,appointment
1,21,saturday,weekend,17,afternoon,appointment
1,21,saturday,weekend,18,evening,restaurant
1,21,saturday,weekend,19,evening,home
1,21,saturday,weekend,20,evening,home
1,21,saturday,weekend,21,evening,home
1,21,saturday,weekend,22,night,home
1,21,saturday,weekend,23,night,home
1,22,sunday,weekend,0,night,home
1,22,sunday,weekend,1,night,home
1,22,sunday,weekend,2,night,home
1,22,sunday,weekend,3,night,home
1,22,sunday,weekend,4,night,home
1,22,sunday,weekend,5,night,home
1,22,sunday,weekend,6,morning,home
1,22,sunday,weekend,7,morning,home
1,22,sunday,weekend,8,morning,home
1,22,sunday,weekend,9,morning,home
1,22,sunday,weekend,10,morning,home
1,22,sunday,weekend,11,morning,home
1,22,sunday,weekend,12,afternoon,home
1,22,sunday,weekend,13,afternoon,home
1,22,sunday,weekend,14,afternoon,home
1,22,sunday,weekend,15,afternoon,home
1,22,sunday,weekend,16,afternoon,home
1,22,sunday,weekend,17,afternoon,home
1,22,sunday,weekend,18,evening,home
1,22,sunday,weekend,19,evening,home
1,22,sunday,weekend,20,evening,home
1,22,sunday,weekend,21,evening,home
1,22,sunday,weekend,22,night,home
1,22,sunday,weekend,23,night,home
1,23,monday,weekday,0,night,home
1,23,monday,weekday,1,night,home
1,23,monday,weekday,2,night,home
1,23,monday,weekday,3,night,home
1,23,monday,weekday,4,night,home
1,23,monday,weekday,5,night,home
1,23,monday,weekday,6,morning,home
1,23,monday,weekday,7,morning,home
1,23,monday,weekday,8,morning,campus
1,23,monday,weekday,9,morning,campus
1,23,monday,weekday,10,morning,office
1,23,monday,weekday,11,morning,office
1,23,monday,weekday,12,afternoon,office
1,23,monday,weekday,13,afternoon,office
1,23,monday,weekday,14,afternoon,office
1,23,monday,weekday,15,afternoon,office
1,23,monday,weekday,16,afternoon,office
1,23,monday,weekday,17,afternoon,office
1,23,monday,weekday,18,evening,office
1,23,monday,weekday,19,evening,store
1,23,monday,weekday,20,evening,home
1,23,monday,weekday,21,evening,home
1,23,monday,weekday,22,night,home
1,23,monday,weekday,23,night,home
1,24,tuesday,weekday,0,night,home
1,24,tuesday,weekday,1,night,home
1,24,tuesday,weekday,2,night,home
1,24,tuesday,weekday,3,night,home
1,24,tuesday,weekday,4,night,home
1,24,tuesday,weekday,5,night,home
1,24,tuesday,weekday,6,morning,home
1,24,tuesday,weekday,7,morning,home
1,24,tuesday,weekday,8,morning,home
1,24,tuesday,weekday,9,morning,office
1,24,tuesday,weekday,10,morning,office
1,24,tuesday,weekday,11,morning,office
1,24,tuesday,weekday,12,afternoon,restaurant
1,24,tuesday,weekday,13,afternoon,office
1,24,tuesday,weekday,14,afternoon,office
1,24,tuesday,weekday,15,afternoon,office
1,24,tuesday,weekday,16,afternoon,office
1,24,tuesday,weekday,17,afternoon,office
1,24,tuesday,weekday,18,evening,home
1,24,tuesday,weekday,19,evening,home
1,24,tuesday,weekday,20,evening,home
1,24,tuesday,weekday,21,evening,home
1,24,tuesday,weekday,22,night,home
1,24,tuesday,weekday,23,night,home
1,25,wednesday,weekday,0,night,home
1,25,wednesday,weekday,1,night,home
1,25,wednesday,weekday,2,night,home
1,25,wednesday,weekday,3,night,home
1,25,wednesday,weekday,4,night,home
1,25,wednesday,weekday,5,night,home
1,25,wednesday,weekday,6,morning,home
1,25,wednesday,weekday,7,morning,home
1,25,wednesday,weekday,8,morning,home
1,25,wednesday,weekday,9,morning,office
1,25,wednesday,weekday,10,morning,office
1,25,wednesday,weekday,11,morning,office
1,25,wednesday,weekday,12,afternoon,restaurant
1,25,wednesday,weekday,13,afternoon,office
1,25,wednesday,weekday,14,afternoon,office
1,25,wednesday,weekday,15,afternoon,office
1,25,wednesday,weekday,16,afternoon,office
1,25,wednesday,weekday,17,afternoon,office
1,25,wednesday,weekday,18,evening,office
1,25,wednesday,weekday,19,evening,store
1,25,wednesday,weekday,20,evening,home
1,25,wednesday,weekday,21,evening,home
1,25,wednesday,weekday,22,night,home
1,25,wednesday,weekday,23,night,home
1,26,thursday,weekday,0,night,home
1,26,thursday,weekday,1,night,home
1,26,thursday,weekday,2,night,home
1,26,thursday,weekday,3,night,home
1,26,thursday,weekday,4,night,home
1,26,thursday,weekday,5,night,home
1,26,thursday,weekday,6,morning,home
1,26,thursday,weekday,7,morning,home
1,26,thursday,weekday,8,morning,home
1,26,thursday,weekday,9,morning,office
1,26,thursday,weekday,10,morning,office
1,26,thursday,weekday,11,morning,office
